,neutral,year,winner,score_diff,isFriendly,home_team,away_team,id
213,False,1908,Switzerland,2,True,Switzerland,Germany,Switzerland1908-04-05Germany
214,False,1908,Northern Ireland,1,False,Wales,Northern Ireland,Wales1908-04-11Northern Ireland
215,False,1908,Belgium,1,True,France,Belgium,France1908-04-12Belgium
216,False,1908,Netherlands,2,True,Netherlands,Belgium,Netherlands1908-04-26Belgium
217,False,1908,Austria,4,True,Austria,Hungary,Austria1908-05-03Hungary
218,False,1908,Netherlands,3,True,Netherlands,France,Netherlands1908-05-10France
219,False,1908,England,5,True,Austria,England,Austria1908-06-06England
220,False,1908,Austria,1,True,Austria,Germany,Austria1908-06-07Germany
221,False,1908,England,10,True,Austria,England,Austria1908-06-08England
222,False,1908,England,7,True,Hungary,England,Hungary1908-06-10England
223,False,1908,England,4,True,Czechoslovakia,England,Czechoslovakia1908-06-13England
224,False,1908,Sweden,8,True,Sweden,Norway,Sweden1908-07-12Norway
225,False,1908,Tie,0,False,Uruguay,Argentina,Uruguay1908-08-15Argentina
226,False,1908,Argentina,1,False,Argentina,Uruguay,Argentina1908-09-13Uruguay
227,False,1908,Uruguay,1,False,Argentina,Uruguay,Argentina1908-10-04Uruguay
228,False,1908,Netherlands,2,True,Netherlands,Sweden,Netherlands1908-10-25Sweden
229,False,1908,Belgium,1,True,Belgium,Sweden,Belgium1908-10-26Sweden
230,False,1908,Hungary,2,True,Hungary,Austria,Hungary1908-11-01Austria
231,False,1909,England,4,False,England,Northern Ireland,England1909-02-13Northern Ireland
232,False,1909,Wales,1,False,Wales,Scotland,Wales1909-03-01Scotland
233,False,1909,England,2,False,England,Wales,England1909-03-15Wales
234,False,1909,Scotland,5,False,Scotland,Northern Ireland,Scotland1909-03-15Northern Ireland
235,False,1909,Wales,1,False,Northern Ireland,Wales,Northern Ireland1909-03-20Wales
236,False,1909,Netherlands,3,True,Belgium,Netherlands,Belgium1909-03-21Netherlands
237,False,1909,England,2,False,England,Scotland,England1909-04-03Scotland
238,False,1909,Germany,1,True,Germany,Switzerland,Germany1909-04-04Switzerland
239,False,1909,Tie,0,True,Hungary,Germany,Hungary1909-04-04Germany
240,False,1909,Netherlands,3,True,Netherlands,Belgium,Netherlands1909-04-25Belgium
241,False,1909,Hungary,1,True,Austria,Hungary,Austria1909-05-02Hungary
242,False,1909,Belgium,3,True,Belgium,France,Belgium1909-05-09France
243,False,1909,England,2,True,Hungary,England,Hungary1909-05-29England
244,False,1909,Tie,0,True,Hungary,Austria,Hungary1909-05-30Austria
245,False,1909,England,6,True,Hungary,England,Hungary1909-05-31England
246,False,1909,England,7,True,Austria,England,Austria1909-06-01England
247,False,1909,Argentina,1,False,Argentina,Uruguay,Argentina1909-08-15Uruguay
248,False,1909,Tie,0,False,Uruguay,Argentina,Uruguay1909-09-19Argentina
249,False,1909,Argentina,2,False,Argentina,Uruguay,Argentina1909-10-10Uruguay
250,False,1909,Tie,0,True,Hungary,Austria,Hungary1909-11-07Austria
251,False,1910,Tie,0,False,Northern Ireland,England,Northern Ireland1910-02-12England
252,False,1910,Scotland,1,False,Scotland,Wales,Scotland1910-03-05Wales
253,False,1910,Belgium,1,True,Belgium,Netherlands,Belgium1910-03-13Netherlands
254,False,1910,England,1,False,Wales,England,Wales1910-03-14England
255,False,1910,Northern Ireland,1,False,Northern Ireland,Scotland,Northern Ireland1910-03-19Scotland
256,False,1910,Scotland,2,False,Scotland,England,Scotland1910-04-02England
257,False,1910,Belgium,4,True,France,Belgium,France1910-04-03Belgium
258,False,1910,Germany,1,True,Switzerland,Germany,Switzerland1910-04-03Germany
259,False,1910,Netherlands,7,True,Netherlands,Belgium,Netherlands1910-04-10Belgium
260,False,1910,Wales,3,False,Wales,Northern Ireland,Wales1910-04-11Northern Ireland
261,False,1910,Netherlands,2,True,Netherlands,Germany,Netherlands1910-04-24Germany
262,False,1910,Austria,1,True,Austria,Hungary,Austria1910-05-01Hungary
263,False,1910,Italy,4,True,Italy,France,Italy1910-05-15France
264,False,1910,Belgium,3,True,Germany,Belgium,Germany1910-05-16Belgium
265,False,1910,Hungary,5,True,Hungary,Italy,Hungary1910-05-26Italy
266,False,1910,Argentina,2,True,Argentina,Chile,Argentina1910-05-27Chile
267,True,1910,Uruguay,3,True,Chile,Uruguay,Chile1910-05-29Uruguay
268,False,1910,Argentina,4,True,Argentina,Chile,Argentina1910-06-05Chile
269,False,1910,Argentina,3,True,Argentina,Uruguay,Argentina1910-06-12Uruguay
270,False,1910,Uruguay,2,False,Uruguay,Argentina,Uruguay1910-08-15Argentina
271,False,1910,Argentina,3,True,Chile,Argentina,Chile1910-09-11Argentina
272,False,1910,Sweden,4,True,Norway,Sweden,Norway1910-09-11Sweden
273,False,1910,Netherlands,1,True,Germany,Netherlands,Germany1910-10-16Netherlands
274,False,1910,Hungary,3,True,Hungary,Austria,Hungary1910-11-06Austria
275,False,1910,Tie,0,False,Argentina,Uruguay,Argentina1910-11-13Uruguay
276,False,1910,Uruguay,4,False,Argentina,Uruguay,Argentina1910-11-27Uruguay
277,False,1911,Hungary,3,True,France,Hungary,France1911-01-01Hungary
278,False,1911,Hungary,1,True,Italy,Hungary,Italy1911-01-06Hungary
279,False,1911,Switzerland,2,True,Switzerland,Hungary,Switzerland1911-01-08Hungary
280,False,1911,Wales,1,False,Northern Ireland,Wales,Northern Ireland1911-01-28Wales
281,False,1911,England,1,False,England,Northern Ireland,England1911-02-11Northern Ireland
282,False,1911,Tie,0,False,Wales,Scotland,Wales1911-03-06Scotland
283,False,1911,England,3,False,England,Wales,England1911-03-13Wales
284,False,1911,Scotland,2,False,Scotland,Northern Ireland,Scotland1911-03-18Northern Ireland
285,False,1911,Netherlands,4,True,Belgium,Netherlands,Belgium1911-03-19Netherlands
286,False,1911,Germany,4,True,Germany,Switzerland,Germany1911-03-26Switzerland
287,False,1911,Tie,0,False,England,Scotland,England1911-04-01Scotland
288,False,1911,Netherlands,2,True,Netherlands,Belgium,Netherlands1911-04-02Belgium
289,False,1911,Tie,0,True,France,Italy,France1911-04-09Italy
290,False,1911,Belgium,1,True,Belgium,Germany,Belgium1911-04-23Germany
291,False,1911,Switzerland,3,True,Switzerland,France,Switzerland1911-04-23France
292,False,1911,Belgium,6,True,Belgium,France,Belgium1911-04-30France
293,False,1911,Austria,2,True,Austria,Hungary,Austria1911-05-07Hungary
294,False,1911,Tie,0,True,Italy,Switzerland,Italy1911-05-07Switzerland
295,False,1911,Switzerland,3,True,Switzerland,Italy,Switzerland1911-05-21Italy
296,False,1911,Germany,2,True,Sweden,Germany,Sweden1911-06-18Germany
297,False,1911,Uruguay,2,False,Argentina,Uruguay,Argentina1911-08-15Uruguay
298,False,1911,Sweden,3,True,Sweden,Norway,Sweden1911-09-17Norway
299,False,1911,Argentina,1,False,Uruguay,Argentina,Uruguay1911-09-17Argentina
300,False,1911,Tie,0,False,Uruguay,Argentina,Uruguay1911-10-08Argentina
301,False,1911,Austria,1,True,Germany,Austria,Germany1911-10-09Austria
302,False,1911,Argentina,2,False,Argentina,Uruguay,Argentina1911-10-22Uruguay
303,False,1911,Sweden,3,True,Finland,Sweden,Finland1911-10-22Sweden
304,False,1911,Sweden,2,True,Germany,Sweden,Germany1911-10-29Sweden
305,False,1911,Hungary,9,True,Hungary,Switzerland,Hungary1911-10-29Switzerland
306,False,1911,France,3,True,Luxembourg,France,Luxembourg1911-10-29France
307,False,1911,Uruguay,3,False,Uruguay,Argentina,Uruguay1911-10-29Argentina
308,False,1911,Hungary,2,True,Hungary,Austria,Hungary1911-11-05Austria
309,False,1911,Hungary,3,True,Germany,Hungary,Germany1911-12-17Hungary
310,False,1912,Tie,0,True,France,Belgium,France1912-01-28Belgium
311,False,1912,England,5,False,Northern Ireland,England,Northern Ireland1912-02-10England
312,False,1912,France,7,True,France,Catalonia,France1912-02-10Catalonia
313,False,1912,France,3,True,France,Switzerland,France1912-02-18Switzerland
314,False,1912,Belgium,7,True,Belgium,Switzerland,Belgium1912-02-20Switzerland
315,False,1912,Scotland,1,False,Scotland,Wales,Scotland1912-03-02Wales
316,False,1912,Netherlands,1,True,Belgium,Netherlands,Belgium1912-03-10Netherlands
317,False,1912,England,2,False,Wales,England,Wales1912-03-11England
318,False,1912,Scotland,3,False,Northern Ireland,Scotland,Northern Ireland1912-03-16Scotland
319,False,1912,France,1,True,Italy,France,Italy1912-03-17France
320,False,1912,Tie,0,False,Scotland,England,Scotland1912-03-23England
321,False,1912,Tie,0,True,Netherlands,Germany,Netherlands1912-03-24Germany
322,False,1912,Northern Ireland,1,False,Wales,Northern Ireland,Wales1912-04-13Northern Ireland
323,False,1912,Tie,0,True,Hungary,Germany,Hungary1912-04-14Germany
324,False,1912,Netherlands,1,True,Netherlands,Belgium,Netherlands1912-04-28Belgium
325,False,1912,Tie,0,True,Austria,Hungary,Austria1912-05-05Hungary
326,False,1912,Germany,1,True,Switzerland,Germany,Switzerland1912-05-05Germany
327,False,1912,Sweden,1,True,Norway,Sweden,Norway1912-06-16Sweden
328,False,1912,Tie,0,True,Sweden,Hungary,Sweden1912-06-20Hungary
329,False,1912,Hungary,6,True,Norway,Hungary,Norway1912-06-23Hungary
330,False,1912,Sweden,6,True,Sweden,Finland,Sweden1912-06-27Finland
331,True,1912,Austria,4,True,Austria,Germany,Austria1912-06-29Germany
332,True,1912,Austria,4,True,Austria,Italy,Austria1912-06-30Italy
333,True,1912,Tie,0,True,Austria,Norway,Austria1912-07-01Norway
334,True,1912,Hungary,3,True,Hungary,Austria,Hungary1912-07-03Austria
335,True,1912,Norway,1,True,Norway,Russia,Norway1912-07-03Russia
336,True,1912,Netherlands,2,True,Netherlands,Austria,Netherlands1912-07-05Austria
337,False,1912,Hungary,9,True,Russia,Hungary,Russia1912-07-12Hungary
338,False,1912,Hungary,12,True,Russia,Hungary,Russia1912-07-14Hungary
339,False,1912,Uruguay,2,False,Uruguay,Argentina,Uruguay1912-08-15Argentina
340,False,1912,Uruguay,3,False,Uruguay,Argentina,Uruguay1912-08-25Argentina
341,False,1912,Uruguay,1,False,Argentina,Uruguay,Argentina1912-09-22Uruguay
342,False,1912,Tie,0,False,Argentina,Uruguay,Argentina1912-10-06Uruguay
343,False,1912,Denmark,2,True,Denmark,Germany,Denmark1912-10-06Germany
344,False,1912,Hungary,4,True,Hungary,Austria,Hungary1912-11-03Austria
345,False,1912,Sweden,2,True,Sweden,Norway,Sweden1912-11-03Norway
346,False,1912,Netherlands,1,True,Germany,Netherlands,Germany1912-11-17Netherlands
347,False,1912,Argentina,2,True,Uruguay,Argentina,Uruguay1912-12-01Argentina
348,False,1912,Catalonia,1,True,Catalonia,France,Catalonia1912-12-01France
349,False,1912,Austria,2,True,Italy,Austria,Italy1912-12-22Austria
350,False,1913,France,1,True,France,Italy,France1913-01-12Italy
351,False,1913,Wales,1,False,Northern Ireland,Wales,Northern Ireland1913-01-18Wales
352,False,1913,Northern Ireland,1,False,Northern Ireland,England,Northern Ireland1913-02-15England
353,False,1913,Belgium,3,True,Belgium,France,Belgium1913-02-16France
354,False,1913,Tie,0,False,Wales,Scotland,Wales1913-03-03Scotland
355,False,1913,Tie,0,True,Belgium,Netherlands,Belgium1913-03-09Netherlands
