,ids,team
36043,France1993-10-13Israel,Israel
36044,Germany1993-10-13Uruguay,Germany
36045,Germany1993-10-13Uruguay,Uruguay
36046,Republic of Ireland1993-10-13Spain,Republic of Ireland
36047,Republic of Ireland1993-10-13Spain,Spain
36048,Italy1993-10-13Scotland,Italy
36049,Italy1993-10-13Scotland,Scotland
36050,Netherlands1993-10-13England,Netherlands
36051,Netherlands1993-10-13England,England
36052,Poland1993-10-13Norway,Poland
36053,Poland1993-10-13Norway,Norway
36054,Portugal1993-10-13Switzerland,Portugal
36055,Portugal1993-10-13Switzerland,Switzerland
36056,Romania1993-10-13Belgium,Romania
36057,Romania1993-10-13Belgium,Belgium
36058,Slovenia1993-10-13North Macedonia,Slovenia
36059,Slovenia1993-10-13North Macedonia,North Macedonia
